,,,,,,,,,,,
Heat Exchange by Heat Transfer,,,,,,,,,,,
,,,,,,,,,,,
Walls:,Timber frame + mineral wool/cellulose,,,,,,,,,,
,Horizontal Dimension (m),Vertical Dimension (m),Area (m^2),U (W/m²·C),∆T_eq (°C),Q_wall (w),,,,,
South West Wall,10.7,7.5,60.25,0.22,7.5,99.4125,,,,,
South East Wall,12.77,7.5,95.775,0.22,5,105.3525,,,,,
North East Wall,10.7,7.5,80.25,0.22,1.5,26.4825,,,,,
North West Wall,12.77,7.5,95.775,0.22,1,21.0705,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Floor:,Raised timber floor over crawlspace,,,,,,,,,,
,Width (m),Length (m),Area (m^2),U (W/m²·C),External (ground) Temperature (°C),Internal Temperature (°C),∆T (°C),Q_floor (w),,,
,10.7,12.77,136.639,0.28,12,23,-11,-420.84812,,,
,,,,,,,,,,,
,,,,,,,,,,,
Windows:,Double-glazed with wood/aluminum frames,,,,,,,,,,
,Horizontal Dimension (m),Vertical Dimension (m),Area Total (m^2),U (W/m²·C),External Temperature (°C),Internal Temperature (°C),∆T (°C),"I-value ""solar irradiation"" (w/m^2)","τ-value ""glazing transmittance""",Q_solar (w),Q_win (w)
South West Wall x4,2.5,2,20,1.2,26,23,3,428,0.675,5778,5850
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ceiling:,Sloped roof with insulation between rafters,,,,,,,,,,
,Width (m),Length (m),Area (m^2),U (W/m²·C),∆T_eq (°C),Q_ceiling (w),,,,,
,10.7,12.77,136.639,0.18,10,245.9502,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Heat Exchange by Air Exchange,,,,,,,,,,,
,,,,,,,,,,,
People:,"Assuming 3 people in the house, average value of sensible/latent heat between resting (seated)/light movement (standing)",,,,,,,,,,
,n (number of people),Q_sensible - (heating the air),"Q_latent (sweating, breathing)",Q_people (w),,,,,,,
,3,72.5,52.5,375,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Heat Exchange by Lighting,Mixed LED + halogen,,,,,,,,,,
,Area (m^2),q_light (w/m^2),Q_light (w),,,,,,,,
,136.639,12.5,1707.9875,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Q_gain_tot (w),8010.40758,,,,,
